product_id,product_title,rating,summary,review,combined_text,review_length,category
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5.0,Super!,"Best bluetooth headset so far. I have used JBL, Boat, Portronics. This one is lightweight, sounds perfect and the charge lasts for days. The best part is that it has an amazing mic, unlike any other BT headset I used in past.","Best bluetooth headset so far. I have used JBL, Boat, Portronics. This one is lightweight, sounds perfect and the charge lasts for days. The best part is that it has an amazing mic, unlike any other BT headset I used in past. Super!",42,realme
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5.0,Terrific purchase,in love with realme products .. Good thank you flipkart  &realme good experience with realme x2 pro with this headphone..,in love with realme products .. Good thank you flipkart  &realme good experience with realme x2 pro with this headphone.. Terrific purchase,20,realme
ACCEVQZABYWJHRHF,BoAt BassHeads 100 Wired Headset,4.0,Value-for-money,"This earphones are recommended by mePros1. Very good sound quality, bass is well balanced with trible. 2. Light weight.3. Good wire quality.4. Mic is good and button is very useful for pause and play next song, also end call.5. Strap is useful. Cons1. Lack of 'L' shaped 3.5mm jack. 2. Position of buds are curved so always need to see which one is left or right.","This earphones are recommended by mePros1. Very good sound quality, bass is well balanced with trible. 2. Light weight.3. Good wire quality.4. Mic is good and button is very useful for pause and play next song, also end call.5. Strap is useful. Cons1. Lack of 'L' shaped 3.5mm jack. 2. Position of buds are curved so always need to see which one is left or right. Value-for-money",66,BoAt
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Highly recommended,"Product is superbbb... Really  frds... Gaming sounds is also good .. pubg games sounds is clear... Compare two to another product .. it is really awesome.  I really love it is a genuine review .  I hope you are also like this product who is waiting for the games music ,video , call, it is the very very very good and also the billied quality is very good and also the battery charging is very good is take 10 minutes time but he charges in 10 minutes time and also the product will be used for 10...","Product is superbbb... Really  frds... Gaming sounds is also good .. pubg games sounds is clear... Compare two to another product .. it is really awesome.  I really love it is a genuine review .  I hope you are also like this product who is waiting for the games music ,video , call, it is the very very very good and also the billied quality is very good and also the battery charging is very good is take 10 minutes time but he charges in 10 minutes time and also the product will be used for 10... Highly recommended",97,OnePlus
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,4.0,Good choice,Nice headsets. Great sound quality. Finest design.Will be better if bass also gets improved.overall nice and best @ this price range👌,Nice headsets. Great sound quality. Finest design.Will be better if bass also gets improved.overall nice and best @ this price range👌 Good choice,21,BoAt
ACCEVQZABYWJHRHF,BoAt BassHeads 100 Wired Headset,5.0,Perfect product!,very good product in this price segmentBass is not high that's a pretty good thing.Vocal is also good.overall it's value for money.ND Flipkart delivered it to me in 2 days that's also good.,very good product in this price segmentBass is not high that's a pretty good thing.Vocal is also good.overall it's value for money.ND Flipkart delivered it to me in 2 days that's also good. Perfect product!,33,BoAt
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5.0,Super!,"This is Bluetooth earphone is of very good quality and make. This looks very much durable and long-lasting. Battery backup is good enough to listen to day-long music. And feels comfortable in the ears and looks unique.  Bluetooth coverage is good enough to walk around the house and keep the phone somewhere else. Also the clarity and sound quality are good too. This looks like premium made and quality.  And it's for a great value,  Recommended to buy.","This is Bluetooth earphone is of very good quality and make. This looks very much durable and long-lasting. Battery backup is good enough to listen to day-long music. And feels comfortable in the ears and looks unique.  Bluetooth coverage is good enough to walk around the house and keep the phone somewhere else. Also the clarity and sound quality are good too. This looks like premium made and quality.  And it's for a great value,  Recommended to buy. Super!",78,U&I
ACCFVA3KZ2EYMYX3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4.0,Value-for-money,"1. Call quality is Good. I have tested the call infront of high volume TV. The call was pretty good and didn't hear much noise if TV music. 4.5/52. Music is good. Bass is not as expected. But if you adjust the Equalizer, the Music is good. 4/5.3. Comfort is Pretty good. 5/5.4. Battery is also really good. 5/5.","1. Call quality is Good. I have tested the call infront of high volume TV. The call was pretty good and didn't hear much noise if TV music. 4.5/52. Music is good. Bass is not as expected. But if you adjust the Equalizer, the Music is good. 4/5.3. Comfort is Pretty good. 5/5.4. Battery is also really good. 5/5. Value-for-money",59,OnePlus
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Simply awesome,"Best in this price range..( used others from sony,jbl,noise)Saw youtubers saying this has low bass...No.not at all..Sounds incredible on my asus 6z.little tuning in the audiowizard and these sound like expensive studio quality headphones.Pros:Great sound qualityTop notch build qualityThumping bass..low frequency bass response is goodGood battery backup with quick chargeCons:Low Latency mode only works with one plus phones Thanq #ONE PLUS for this fantastic product.","Best in this price range..( used others from sony,jbl,noise)Saw youtubers saying this has low bass...No.not at all..Sounds incredible on my asus 6z.little tuning in the audiowizard and these sound like expensive studio quality headphones.Pros:Great sound qualityTop notch build qualityThumping bass..low frequency bass response is goodGood battery backup with quick chargeCons:Low Latency mode only works with one plus phones Thanq #ONE PLUS for this fantastic product. Simply awesome",65,OnePlus
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5.0,Simply awesome,"Best in the market 😍😍😍. Enjoying its feel the real bass 😌😌. Good qualities of wire, comfortable to wear, and great sound quality 🥰🥰 . Value for money 🤑🤑.","Best in the market 😍😍😍. Enjoying its feel the real bass 😌😌. Good qualities of wire, comfortable to wear, and great sound quality 🥰🥰 . Value for money 🤑🤑. Simply awesome",29,realme
