titles,images,prices,ratings,purls
Apple iPhone 15 Plus (256 GB) - Pink,https://m.media-amazon.com/images/I/71bErtQPC3L._AC_UY218_.jpg,"82,900",4.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzk2MDcyMjU1OTQzOTYyOjE3NDU2NzMxOTc6c3BfYXRmOjMwMDA1NzU5NDU0MDIzMjo6MDo6&url=%2FApple-iPhone-15-Plus-256%2Fdp%2FB0CHX7STQQ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D8CTWKCJJG0BI%26dib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1745673197%26sprefix%3Dmobiles%252Caps%252C247%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 15 (256 GB) - Pink,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_UY218_.jpg,"71,400",4.5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzk2MDcyMjU1OTQzOTYyOjE3NDU2NzMxOTc6c3BfYXRmOjMwMDA1NzU5NDUzODAzMjo6MDo6&url=%2FApple-iPhone-15-256-GB%2Fdp%2FB0CHX4CRND%2Fref%3Dsr_1_2_sspa%3Fcrid%3D8CTWKCJJG0BI%26dib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1745673197%26sprefix%3Dmobiles%252Caps%252C247%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",https://m.media-amazon.com/images/I/81T3olLXpUL._AC_UY218_.jpg,"6,498",4,https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-3
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",https://m.media-amazon.com/images/I/718HzJbvY1L._AC_UY218_.jpg,"8,999",4,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72/ref=sr_1_4?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-4
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",https://m.media-amazon.com/images/I/71r0Ysx+oVL._AC_UY218_.jpg,"8,498",4,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_5?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-5
"realme GT 6T 5G (Fluid Silver,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",https://m.media-amazon.com/images/I/61HyiMlCuTL._AC_UY218_.jpg,"24,998",4.3,https://www.amazon.in/realme-Storage-Flagship-Chipset-Brightest/dp/B0D3J9FN5C/ref=sr_1_6?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-6
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",https://m.media-amazon.com/images/I/717sEAdy02L._AC_UY218_.jpg,"12,498",4.1,https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GX1VFM/ref=sr_1_7?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-7
"Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",https://m.media-amazon.com/images/I/81nt-RGKpyL._AC_UY218_.jpg,"16,498",4.1,https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_8?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-8
Apple iPhone 15 (128 GB) - Green,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_UY218_.jpg,"61,390",4.5,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_9?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-9
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/61Io5-ojWUL._AC_UY218_.jpg,"17,998",4.1,https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_10?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-10
